
Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
83,Russell Gage,ATL,24,wr,16,8,,1,2,50.0,39,1,50.0,0,0.0,1,39,19.5,29.5,39.0,2.4,135.4,100.0,0,0,19.50,29.50,0.0,,
84,Travis Kelce,KAN,31,TE,15,15,,1,2,50.0,4,0,0.0,0,0.0,1,4,2.0,2.0,4.0,0.3,56.2,62.1,0,0,2.00,2.00,0.0,,
85,Jakobi Meyers,NWE,24,wr,14,9,,2,2,100.0,43,2,100.0,0,0.0,2,24,21.5,41.5,21.5,3.1,158.3,100.0,0,0,21.50,41.50,0.0,,
86,Golden Tate,NYG,32,wr,12,4,,1,2,50.0,18,0,0.0,0,0.0,1,18,9.0,9.0,18.0,1.5,81.2,6.3,0,0,9.00,9.00,0.0,,
87,Cedrick Wilson Jr.,DAL,25,,16,0,,2,2,100.0,23,1,50.0,0,0.0,1,12,11.5,21.5,11.5,1.4,154.2,99.5,0,0,11.50,21.50,0.0,,
88,Jamal Agnew,DET,25,wr,14,2,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,1.3,0,0,0.00,0.00,0.0,,
89,Keenan Allen,LAC,28,WR,14,13,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,1.9,0,0,0.00,0.00,0.0,,
90,Cole Beasley,BUF,31,WR,15,10,,1,1,100.0,20,1,100.0,0,0.0,1,20,20.0,40.0,20.0,1.3,158.3,100.0,0,0,20.00,40.00,0.0,,
91,Odell Beckham Jr.,CLE,28,wr,7,7,,1,1,100.0,18,0,0.0,0,0.0,1,18,18.0,18.0,18.0,2.6,118.7,99.3,0,0,18.00,18.00,0.0,,
92,Joseph Charlton,CAR,23,p,16,0,,1,1,100.0,28,0,0.0,0,0.0,1,28,28.0,28.0,28.0,1.8,118.7,99.9,1,5,11.50,11.50,50.0,,
93,Randall Cobb,HOU,30,wr,10,2,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,4.1,0,0,0.00,0.00,0.0,,
94,Jamison Crowder,NYJ,27,wr,12,7,,1,1,100.0,43,1,100.0,0,0.0,1,43,43.0,63.0,43.0,3.6,158.3,100.0,0,0,43.00,63.00,0.0,,
95,Riley Dixon,NYG,27,p,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
96,Alex Erickson,CIN,28,wr,16,2,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,11.1,0,0,0.00,0.00,0.0,,
97,Jaquan Johnson,BUF,25,,14,0,,1,1,100.0,13,0,0.0,0,0.0,1,13,13.0,13.0,13.0,0.9,118.7,,0,0,13.00,13.00,0.0,,
98,Chris Jones,DAL,31,p,8,0,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
99,Zay Jones,LVR,25,wr,16,2,,1,1,100.0,29,0,0.0,0,0.0,1,29,29.0,29.0,29.0,1.8,118.7,100.0,0,0,29.00,29.00,0.0,,
100,Brett Kern,TEN,34,p,13,0,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
101,Sam Koch,BAL,38,p,15,0,,1,1,100.0,15,0,0.0,0,0.0,1,15,15.0,15.0,15.0,1.0,118.7,,0,0,15.00,15.00,0.0,,
102,Andy Lee,ARI,38,p,16,0,,1,1,100.0,26,0,0.0,0,0.0,1,26,26.0,26.0,26.0,1.6,118.7,,0,0,26.00,26.00,0.0,,
103,A.J. McCarron,HOU,30,,2,0,,1,1,100.0,20,0,0.0,0,0.0,1,20,20.0,20.0,20.0,10.0,118.7,0.0,1,12,4.00,4.00,50.0,,
104,Isaiah McKenzie,BUF,25,wr,16,7,,1,1,100.0,12,1,100.0,0,0.0,1,12,12.0,32.0,12.0,0.8,156.2,91.0,0,0,12.00,32.00,0.0,,
105,D.J. Moore,CAR,23,WR,15,14,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
106,Zach Pascal,IND,26,WR,16,14,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,2.5,0,0,0.00,0.00,0.0,,
107,Easton Stick,LAC,25,,1,0,,1,1,100.0,4,0,0.0,0,0.0,0,4,4.0,4.0,4.0,4.0,83.3,1.8,0,0,4.00,4.00,0.0,,
108,Logan Thomas,WAS,29,TE,16,15,,1,1,100.0,28,0,0.0,0,0.0,1,28,28.0,28.0,28.0,1.8,118.7,47.6,0,0,28.00,28.00,0.0,,
109,Tommy Townsend,KAN,24,p,16,0,,1,1,100.0,13,0,0.0,0,0.0,1,13,13.0,13.0,13.0,0.8,118.7,13.8,0,0,13.00,13.00,0.0,,
110,Greg Ward,PHI,25,WR,16,10,,1,1,100.0,15,0,0.0,0,0.0,1,15,15.0,15.0,15.0,0.9,118.7,1.0,0,0,15.00,15.00,0.0,,
111,Sammy Watkins,KAN,27,wr,10,9,,0,1,0.0,0,0,0.0,1,100.0,0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.00,-45.00,0.0,,
112,Isaiah Wright,WAS,23,wr,14,6,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,3.7,0,0,0.00,0.00,0.0,,
